publish_date,article_count,positive_count,sentiment_ratio,date,avg_daily_return
2025-04-17,3,2,0.6666666666666666,2025-04-17,-0.005872106854015413
2025-04-22,4,4,1.0,2025-04-22,0.015684007098562457
2025-04-23,4,4,1.0,2025-04-23,0.004163865184151949
2025-04-24,8,4,0.5,2025-04-24,0.011344265121797037
2025-04-25,4,4,1.0,2025-04-25,0.009527726444473939
2025-04-28,4,0,0.0,2025-04-28,0.004729878036773405
2025-04-29,16,8,0.5,2025-04-29,0.006002760792932471
2025-04-30,25,25,1.0,2025-04-30,0.005406551096571577
2025-05-01,22,22,1.0,2025-05-01,-0.022541228507971856
2025-05-05,36,24,0.6666666666666666,2025-05-05,-0.002459502277723491
2025-05-06,6,6,1.0,2025-05-06,-0.024734417112870964
2025-05-07,9,5,0.5555555555555556,2025-05-07,0.006362764727838488
2025-05-08,16,8,0.5,2025-05-08,-0.010581630765363403
2025-05-09,4,4,1.0,2025-05-09,-0.012564224690455605
2025-05-12,4,0,0.0,2025-05-12,0.02551614901633259
2025-05-13,8,6,0.75,2025-05-13,-0.032668635151138756
2025-05-14,4,2,0.5,2025-05-14,-0.02469874576935175
2025-05-15,2,0,0.0,2025-05-15,0.005862923264556985
